,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia PRO,"Jan 26, 2021","Feb 24, 2020",$2500,,6.7 x 3 x 0.4 inches 170.2 x 76.2 x 10.2 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Aluminum,"Water, Dust; IP65/68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key",Black,7.94 oz / 225.0 g,,,,,"6.5-inch, 82.59% screen-to-body","OLED, HDR","3840x1644px, 21:9 ratio, 643 PPI",Corning Gorilla Glass 6,,,,Snapdragon 865 SM8250 (7 nm),Octa-coreKryo 585,Adreno 650,8GB (LPDDR5)/512GB,microSDXC up to 1024 GB,Android (10),4000 mAh,USB Power Delivery,Wired: 21.0W,Quad camera,"12 MP (OIS, PDAF)Aperture size: F1.7Focal length: 24 mmSensor size: 1/1.7""Pixel size: 1.8 μm","12 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/2.55""","4K UHD (60 fps), 1080p (120 fps), 720pOIS, HDR, Continuous autofocus, Object tracking, EIS","8 MP (EIS, HDR)Video capture: 1080p","12 MP (Telephoto, OIS, PDAF)Optical zoom: 3.0xAperture size: F2.4Focal Length: 70 mmSensor size: 1/3.4""Pixel size: 1 μm",LED,0.3 MP VGA (ToF 3D depth sensing),5.1,"a,b,g,n,ac,Wi-Fi 6,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Hall (for flip covers), Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,M4/T4,Micro HDMI (Type D),3.5mm jack,"Earpiece, Multiple speakers",,,"Dolby Atmos, aptX-HD",,,"n2, n5, n66, n260, n261, Sub-6, mmWave","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 25, 26, 28, 29, 32, 66","34, 38, 39, 40, 41, 42, 46, 48","LTE-A Pro Cat 19 (1600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,Yes,"1, 2, 4, 5, 6, 8",Yes,,"Date approved: Feb 11, 2021FCC ID value: PY7-57441Y",Head: 0.25 W/kgBody: 0.38 W/kgSimultaneous Transmission: 1.10 W/kgWireless Router: 0.38 W/kg,,
Sony Xperia 5 II,"Oct 12, 2020","Sep 17, 2020",$950,Yes,6.22 x 2.68 x 0.31 inches 158 x 68 x 8 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Aluminum,"Water, Dust; IP65/68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Blue, Grey",5.75 oz / 163.0 g,,,,,"6.1-inch, 80.82% screen-to-body","OLED, 120Hz, HDR","2520x1080px, 21:9 ratio, 449 PPI",Corning Gorilla Glass 6,,,,Snapdragon 865 SM8250 (7 nm),Octa-coreKryo 585,Adreno 650,8GB (LPDDR5)/128GB (UFS),microSDXC up to 1000 GB,Android (10),4000 mAh,USB Power Delivery,,Triple camera,"12 MP (OIS, PDAF)Aperture size: F1.7Focal length: 24 mmSensor size: 1/1.7""","12 MP (Ultra-wide, PDAF)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/2.55""","4K UHD (120 fps), 1080p (60 fps)OIS, HDR, Time-lapse video, EIS","8 MP (EIS, HDR)Video capture: 1080p","12 MP (Telephoto, OIS, PDAF)Optical zoom: 3.0xAperture size: F2.4Focal Length: 70 mmSensor size: 1/3.4""Pixel size: 1 μm",LED,,5.1,"a,b,g,n,ac,Wi-Fi 6,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,"Dolby Atmos, aptX-HD, Album art cover",,,"n1, n3, n8, n28, n77, n78, SA, NSA","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66","34, 38, 39, 40, 41, 46, 48","LTE-A Pro Cat 18 (1200/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,Yes,"1, 2, 4, 5, 6, 8",,,"Date approved: Apr 19, 2021FCC ID value: PY7-50241N",Head: 0.32 W/kgBody: 0.48 W/kgSimultaneous Transmission: 1.21 W/kgWireless Router: 0.72 W/kg,,
Sony Xperia 1 II,"May 22, 2020","Feb 24, 2020",,,6.54 x 2.83 x 0.31 inches 166 x 72 x 7.9 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Aluminum,"Water, Dust; IP65/68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Purple",6.38 oz / 181.0 g,,,,,"6.5-inch, 82.59% screen-to-body","OLED, HDR","3840x1644px, 21:9 ratio, 643 PPI",Corning Gorilla Glass 6,,,,Snapdragon 865 SM8250 (7 nm),Octa-coreKryo 585,Adreno 650,8GB (LPDDR5)/256GB,microSDXC up to 1000 GB,"Android (11, 10)",4000 mAh,USB Power DeliveryQi wireless charging,,Quad camera,"12 MP (OIS, PDAF)Aperture size: F1.7Focal length: 24 mmSensor size: 1/1.7""","12 MP (Ultra-wide, PDAF)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/2.55""","4K UHD (60 fps), 1080p (120 fps), 720pOIS, HDR, Continuous autofocus, Object tracking, EIS","8 MP (EIS, HDR)Video capture: 1080p","12 MP (Telephoto, OIS, PDAF)Optical zoom: 3.0xAperture size: F2.4Focal Length: 70 mmSensor size: 1/3.4""",LED,0.3 MP VGA (ToF 3D depth sensing),5.1,"a,b,g,n,ac,Wi-Fi 6,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac, ax","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Hall (for flip covers), Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Multiple speakers",,,"Dolby Atmos, aptX-HD",,,"n1, n3, n28, n77, n78, Sub-6","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66","34, 38, 39, 40, 41, 46","LTE-A Pro Cat 19 (1600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,Yes,"1, 2, 4, 5, 6, 8",,,"Date approved: Oct 19, 2020FCC ID value: PY7-65375K",Head: 0.21 W/kgBody: 0.48 W/kgSimultaneous Transmission: 0.89 W/kgWireless Router: 0.77 W/kg,,
Sony Xperia 10 II,"May 05, 2020","Feb 24, 2020",,,6.18 x 2.72 x 0.32 inches 157 x 69 x 8.2 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Plastic,"Water, Dust; IP65/68",Fingerprint (touch),Left: Volume control; Right: Lock/Unlock key,"Black, White",5.33 oz / 151.0 g,,,,,"6.0-inch, 77.54% screen-to-body",OLED,"2520x1080px, 21:9 ratio, 457 PPI",Corning Gorilla Glass 6,,,,Snapdragon 665 SM6125 (11 nm),Octa-coreKryo 260,Adreno 610,4GB/128GB,microSDXC up to 1000 GB,"Android (12, 11, 10)",3600 mAh,"Qualcomm Quick Charge 3.0, USB Power Delivery",Wired: 18.0W,Triple camera,"12 MP (PDAF)Aperture size: F2.0Focal length: 26 mmSensor size: 1/2.8""","8 MP (Ultra-wide)Aperture size: F2.2Focal Length: 16 mmSensor size: 1/4""","4K UHD (30 fps), 1080p (30 fps), 720pEIS","8 MP (EIS, HDR)","8 MP (Telephoto, PDAF)Optical zoom: 2.0xAperture size: F2.4Focal Length: 52 mmSensor size: 1/4""",LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Loudspeaker",,,,,,,"1, 3, 4, 5, 7, 8, 12, 20, 28","38, 39, 40, 41","LTE-A Cat 11 (600/75 Mbit/s), LTE-A, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"1, 4, 5, 8",,,,,,
Sony Xperia L4,"Apr 27, 2020","Feb 20, 2020",,,6.26 x 2.80 x 0.34 inches 159 x 71 x 8.7 mm,Back: PlasticFrame: Plastic,,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Black, Blue",6.28 oz / 178.0 g,,,,,"6.2-inch, 79.40% screen-to-body",IPS LCD,"1680x720px, 21:9 ratio, 295 PPI",,,,,MediaTek Helio P22 MT6762 (12 nm),Octa-core2000 MHzArm Cortex-A53,IMG PowerVR GE8320,3GB/64GB,microSDXC up to 512 GB,Android (9.0 Pie),3580 mAh,USB Power Delivery,,Triple camera,"13 MP (PDAF)Aperture size: F2.0Focal length: 26 mmSensor size: 1/3""","5 MP (Ultra-wide)Aperture size: F2.2Focal Length: 17 mmSensor size: 1/5""Pixel size: 1.12 μm",1080pEIS,8 MP (HDR)Video capture: 1080p,"2 MP (Depth information)Aperture size: F2.4Sensor size: 1/5""",LED,,5.0,"a,b,g,n,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,,"FM, Stereo, RDS",,,"1, 2, 3, 5, 7, 8, 20",40,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"1, 2, 5, 8",,,,,,
Sony Xperia 5,"Oct 02, 2019","Sep 05, 2019",,,6.22 x 2.68 x 0.32 inches 158 x 68 x 8.2 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Aluminum,"Water, Dust; IP65/68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Grey, Blue, Red",5.78 oz / 164.0 g,,,,,"6.1-inch, 80.52% screen-to-body","OLED, HDR","2520x1080px, 21:9 ratio, 449 PPI",Corning Gorilla Glass 6,,,,Snapdragon 855 SM8150 (7 nm),Octa-coreKryo 485,Adreno 640,6GB (LPDDR4)/128GB,microSDXC up to 512 GB,"Android (10, 9.0 Pie)","3140 mAh, Li - Polymer",USB Power Delivery,,Triple camera,"12 MP (OIS, PDAF)Aperture size: F1.6Focal length: 26 mmSensor size: 1/2.6""Pixel size: 1.4 μm","12 MP (Ultra-wide)Aperture size: F2.4Focal Length: 16 mmSensor size: 1/3.4""Pixel size: 1 μm","4K UHD (30 fps), 1080p (60 fps), 720p (120 fps)OIS, Time-lapse video, Hyperlapse, EIS","8 MP (OIS, EIS, HDR)Video capture: 1080p","12 MP (Telephoto, OIS, PDAF)Optical zoom: 2.0xAperture size: F2.4Focal Length: 52 mmSensor size: 1/3.4""Pixel size: 1 μm",LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Hall (for flip covers), Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,T4,,No 3.5mm jack,"Earpiece, Multiple speakers",,,"Dolby Atmos, aptX-HD",,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66","34, 38, 39, 40, 41, 46","LTE-A Pro Cat 19 (1600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"1, 2, 3, 4, 5, 8",Yes,,"Date approved: Mar 10, 2020FCC ID value: PY7-77587Q",Head: 0.38 W/kgBody: 0.43 W/kgSimultaneous Transmission: 1.04 W/kgWireless Router: 0.79 W/kg,,
Sony Xperia 1,"May 29, 2019","Feb 25, 2019",$950,,6.57 x 2.83 x 0.32 inches 167 x 72 x 8.2 mm,Back: Glass (Corning Gorilla Glass 6)Frame: Aluminum,"Water, Dust; IP65/68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gray, Purple, White",6.28 oz / 178.0 g,,,,,"6.5-inch, 82.22% screen-to-body","P-OLED, HDR, 400 nits","3840x1644px, 21:9 ratio, 643 PPI",Corning Gorilla Glass 6,,,,Snapdragon 855 SM8150 (7 nm),Octa-coreKryo 485,Adreno 640,6GB (LPDDR4)/128GB,microSDXC up to 512 GB,"Android (10, 9.0 Pie)","3330 mAh, Li - Polymer",USB Power Delivery,,Triple camera,"12 MP (OIS, Autofocus)Aperture size: F1.6Focal length: 26 mmSensor size: 1/2.6""Pixel size: 1.4 μm","12 MP (Ultra-wide)Aperture size: F2.4Focal Length: 16 mmSensor size: 1/3.4""Pixel size: 1 μm","4K UHD (24 fps), 1080p (960 fps), 720p (960 fps)OIS, HDR, Time-lapse video, EIS","8 MP (OIS, HDR)Video capture: 1080p","12 MP (Telephoto, OIS, Autofocus)Optical zoom: 2.0xAperture size: F2.4Focal Length: 52 mmSensor size: 1/3.4""Pixel size: 1 μm",LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Hall (for flip covers), Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Cell ID, Wi-Fi positioning",NFC,,,No 3.5mm jack,"Earpiece, Multiple speakers",,,"Dolby Atmos, aptX-HD",,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66","34, 38, 39, 40, 41, 46","LTE-A Pro Cat 19 (1600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,Yes,"1, 2, 4, 5, 6, 8",,,,,,
Sony Xperia L3,"Feb 27, 2019","Feb 25, 2019",,,6.06 x 2.83 x 0.35 inches 154 x 72 x 8.9 mm,Back: Plastic,,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Black, Gold, Silver",5.50 oz / 156.0 g,,,,,"5.7-inch, 75.78% screen-to-body",IPS LCD,"1440x720px, 18:9 ratio, 282 PPI",Corning Gorilla Glass 5,,,,MediaTek Helio P22 MT6762 (12 nm),Octa-core2000 MHzARM Cortex-A53,IMG PowerVR GE8320,3GB/32GB,microSDXC up to 512 GB,Android (8.1 Oreo),"3300 mAh, Li - Polymer",USB Power Delivery,,Dual camera,"13 MP (PDAF)Aperture size: F2.2Focal length: 26 mmSensor size: 1/3""Pixel size: 1.12 μm","2 MP (Depth information)Aperture size: F2.4Sensor size: 1/5""Pixel size: 1.75 μm","1080pVideo calling, Video sharing",8 MPVideo capture: 1080p,,LED,,5.0,"a,b,g,n,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",FM,,,"1, 2, 3, 5, 7, 8, 20",38,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s",Nano SIM,Yes,"1, 2, 5, 8",,,,,,
Sony Xperia 10 Plus,"Feb 27, 2019","Feb 25, 2019",$430,,6.57 x 2.87 x 0.33 inches 167 x 73 x 8.3 mm,Back: Plastic,,Fingerprint (touch),,"Black, Gold, Silver, Blue",6.35 oz / 180.0 g,,,,,"6.5-inch, 81.13% screen-to-body",IPS LCD,"2520x1080px, 21:9 ratio, 422 PPI",Corning Gorilla Glass 5,,,,Snapdragon 636 SDM636 (14 nm),Octa-core1800 MHzKryo 260,Adreno 509,4GB (LPDDR4)/64GB,microSDXC up to 512 GB,"Android (10, 9.0 Pie)","3000 mAh, Li - Polymer",USB Power Delivery,,Dual camera,"12 MP (PDAF)Aperture size: F1.8Focal length: 27 mmSensor size: 1/2.8""Pixel size: 1.25 μm","8 MP (Telephoto, PDAF)Optical zoom: 2.0xAperture size: F2.4Focal Length: 53 mmSensor size: 1/4""Pixel size: 1.12 μm","4K UHD (30 fps), 1080p (60 fps)EIS, Video calling, Video sharing",8 MP (HDR)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,"Album art cover, Background playback",FM,,,"1, 2, 3, 5, 7, 8, 20, 28, 32",38,"LTE-A Cat 12/13 (600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,Yes,"1, 2, 5, 8",,,"Date approved: Jul 01, 2019FCC ID value: PY7-35228T",Head: 0.23 W/kgBody: 0.63 W/kgSimultaneous Transmission: 1.24 W/kgWireless Router: 1.12 W/kg,,
Sony Xperia 10,"Feb 27, 2019","Feb 25, 2019",$349,,6.14 x 2.68 x 0.33 inches 156 x 68 x 8.4 mm,Back: Plastic,,Fingerprint (touch),,"Black, Silver, Pink, Blue",5.71 oz / 162.0 g,,,,,"6.0-inch, 79.21% screen-to-body",IPS LCD,"2520x1080px, 21:9 ratio, 457 PPI",Corning Gorilla Glass 5,,,,Snapdragon 630 SDM630 (14 nm),Octa-core2200 MHzARM Cortex-A53,Adreno 508,3GB (LPDDR4)/64GB,microSDXC up to 512 GB,"Android (10, 9.0 Pie)","2870 mAh, Li - Polymer",USB Power Delivery,,Dual camera,"13 MP (PDAF, CMOS image sensor)Aperture size: F2.0Sensor size: 1/3""Pixel size: 1.12 μm","5 MPAperture size: F2.4Sensor size: 1/4""Pixel size: 1.4 μm","4K UHDEIS, Video calling, Video sharing","8 MP (Wide Angle, HDR)Video capture: 1080p",,LED,,5.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,"Album art cover, Background playback",FM,,,"1, 2, 3, 5, 7, 8, 20, 28, 32",38,"LTE-A Cat 12/13 (600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,Yes,"5, 8, 2, 1",,,,,,
Sony Xperia XZ3,"Oct 17, 2018","Aug 30, 2018",$900,,6.22 x 2.87 x 0.39 inches 158 x 73 x 9.9 mm,Back: Glass (Corning Gorilla Glass 5)Frame: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Green, Red, White",6.81 oz / 193.0 g,,,,,"6.0-inch, 80.67% screen-to-body","OLED, HDR, 550 nits","2880x1440px, 18:9 ratio, 537 PPI",Corning Gorilla Glass 5,,16 777 216,,Snapdragon 845 SDM845 (10 nm),Octa-core2800 MHzKryo 385,Adreno 630,4GB (LPDDR4)/64GB,microSDXC up to 512 GB,Android (9.0 Pie),"3330 mAh, Li - Polymer",USB Power DeliveryQi wireless charging,,Single camera,"19 MP (Laser and PDAF)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (30 fps), 1080p (960 fps), 720p (960 fps)HDR, Time-lapse video, Hyperlapse, EIS, Video calling, Video sharing","13 MP (Wide Angle, Autofocus)Video capture: 1080p",,Dual LED,,5.0,"a,b,g,n,ac,dual-bandMultiple antennas, MIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, VoIP, Tethering, Computer sync, OTA sync",M4/T4,,No 3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 66","38, 39, 40, 41","LTE-A Pro Cat 18 (1200/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,Yes,"6, 5, 8, 4, 2, 1",Yes,Yes,"Date approved: Aug 03, 2018FCC ID value: PY7-26828G",Head: 0.14 W/kgBody: 0.44 W/kgSimultaneous Transmission: 1.08 W/kgWireless Router: 0.85 W/kg,"Haptic feedback, Music ringtones, Vibration","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XA3 Ultra,"Expected Jan 07, 2019",,,"Jan 07, 2019",6.59 x 2.89 x 0.33 inches 167.4 x 73.3 x 8.3 mm,,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Silver",,,,,,"6.5-inch, 88.74% screen-to-body",,"2160x1080px, 372 PPI",,,16 777 216,,Snapdragon 660 SDM660 (14 nm),Octa-core2200 MHzKryo 260,Adreno 512,6GB (LPDDR4)/64GB,,Android (9.0 Pie),,,,Dual camera,,,"YesVideo calling, Video sharing",Yes,,Dual LED,,Yes,"b,g,nHotspot, Wi-Fi Direct802.11 b, g, n",Type-C,"Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS","VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",,,,,,"LTE-A, HSPA, HSUPA",,,,,,,,"Haptic feedback, Music ringtones, Vibration","Voice dialing, Voice commands, Voice recording"
Sony Xperia XA3,No information,,,"Jan 07, 2019",,,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key",,,,,,,5.9-inch,"IPS LCD, 60Hz","2560x1080px, 18:9 ratio, 471 PPI",Corning Gorilla Glass 5,,,,Snapdragon 512 SDM660 (14 nm),Octa-core2200 MHzKryo 260,Adreno 660,4GB (LPDDR4)/64GB,,Android (9.0 Pie),3500 mAh,,,Dual camera,23 MP (Autofocus),8 MP,"YesVideo calling, Video sharing",Yes,,Dual LED,,Yes,"b,g,nWi-Fi Direct802.11 b, g, n",Type-C,"Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS","VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",,,,,,"LTE-A, HSPA, HSUPA",,,,,,,,,
Sony Xperia XA2 Plus,"Aug 24, 2018","Jul 11, 2018",,,6.18 x 2.95 x 0.38 inches 157 x 75 x 9.6 mm,Back: Aluminum,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Silver, Green",7.23 oz / 205.0 g,,,,,"6.0-inch, 78.99% screen-to-body","IPS LCD, 500 nits","2160x1080px, 18:9 ratio, 402 PPI",Corning Gorilla Glass 5,,16 777 216,,Snapdragon 630 SDM630 (14 nm),Octa-core2200 MHzARM Cortex-A53,Adreno 508,6GB (LPDDR4)/64GB4GB/32GB,microSDXC up to 400 GB,Android (8.0 Oreo),"3580 mAh, Li - Polymer","Qualcomm Quick Charge 3.0, USB Power Delivery",,Single camera,"23 MP (PDAF)Aperture size: F2.0Sensor size: 1/2.3""",,"4K UHD (30 fps), 1080p (30 fps)HDR, EIS, Video calling, Video sharing",8 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou, Cell ID, Wi-Fi positioning","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,"Album art cover, Background playback",FM,,,"1, 2, 3, 5, 7, 8, 28","38, 39, 40, 41","LTE-A Cat 12/13 (600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,Yes,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
